feature,feature_group,available_at_t,used,train_missing_share,train_variance,exact_duplicate_of,correlated_with,correlation
ret_1,BASE,True,True,0.0007564296520423601,0.00019101824966248068,,,
ret_3,BASE,True,True,0.0022692889561270802,0.0006438484446872975,,,
ret_5,BASE,True,True,0.0037821482602118004,0.0011337576215841552,,,
vol_5,BASE,True,True,0.0037821482602118004,0.00010459902830207014,,,
vol_20,BASE,True,True,0.015128593040847202,8.797164559128586e-05,,,
dist_min_20,BASE,True,True,0.014372163388804841,0.002601721292834351,,,
favourability_percentile_90,BASE,True,True,0.0680786686838124,0.12510835790392066,,,
dist_sma_20,BASE,True,True,0.014372163388804841,0.0014942659743608774,,,
broad_rub_return_1,BASE,True,True,0.0007564296520423601,0.0001622466963087017,,,
broad_rub_return_3,BASE,True,True,0.0022692889561270802,0.0006196773265649926,,,
broad_rub_return_5,BASE,True,True,0.0037821482602118004,0.001187114536627405,,,
corridor_specific_return_1,BASE,True,True,0.0007564296520423601,4.739581621631641e-05,,,
return_sign_reversal_up,BASE,True,True,0.0,0.17468670537694458,,,
reversal_strength,BASE,True,True,0.0015128593040847202,0.00034952320944412065,,,
near_min_reversal_010,BASE,True,True,0.0,0.09777016897791592,,,
ret_1_lag1,NEW_TEMPORAL,True,True,0.0015128593040847202,0.00019115767613490063,,,
ret_1_lag2,NEW_TEMPORAL,True,True,0.0022692889561270802,0.00019129661444164576,,,
ret_1_lag3,NEW_TEMPORAL,True,True,0.0030257186081694403,0.0001914246252635004,,,
vol_20_lag1,NEW_TEMPORAL,True,False,0.01588502269288956,8.800929505596201e-05,,vol_20,0.9916106948466694
vol_20_lag2,NEW_TEMPORAL,True,False,0.01664145234493192,8.804686601711749e-05,,vol_20,0.9794932368676526
vol_20_lag3,NEW_TEMPORAL,True,True,0.01739788199697428,8.808546073312485e-05,,,
broad_rub_return_1_lag1,NEW_TEMPORAL,True,True,0.0015128593040847202,0.0001623611262645968,,,
broad_rub_return_1_lag2,NEW_TEMPORAL,True,True,0.0022692889561270802,0.0001624751769309993,,,
broad_rub_return_1_lag3,NEW_TEMPORAL,True,True,0.0030257186081694403,0.00016258696309427465,,,
corridor_specific_return_1_lag1,NEW_TEMPORAL,True,True,0.0015128593040847202,4.7426645225147965e-05,,,
corridor_specific_return_1_lag2,NEW_TEMPORAL,True,True,0.0022692889561270802,4.746172562205061e-05,,,
corridor_specific_return_1_lag3,NEW_TEMPORAL,True,True,0.0030257186081694403,4.749415042587207e-05,,,
vol_ratio_20_60,NEW_TEMPORAL,True,True,0.0453857791225416,0.08660012120853686,,,
vol_20_change_3,NEW_TEMPORAL,True,True,0.01739788199697428,0.03868556154077705,,,
momentum_spread,NEW_TEMPORAL,True,True,0.007564296520423601,0.001702924129186056,,,
